hhid,pnum,parentTourNum,tourSubTourNum,personSubTourNum,parentTourMode,carAvailability,origTaz,origMaz,primDestTaz,primDestMaz,subTourPurp,subTourMode,prelimStartInt,finalStartMin,prelimArriveInt,finalArriveMin,totObStops,totIbStops,obStopSeq,ibStopSeq
1,1,1,1,1,2,1,390,24938,11,23757,9,1,34,503.0,36,531,0,0,"[1-9]","[9-1]"
1,1,1,2,2,2,1,390,24938,186,23464,72,1,39,578.0,47,696,0,0,"[1-72]","[72-1]"
7,1,1,1,1,1,1,164,23042,66,25124,72,1,22,323.0,31,456,0,0,"[1-72]","[72-1]"
20,2,1,1,1,3,1,174,25163,67,25058,72,14,39,572.0,42,630,0,0,"[1-72]","[72-1]"
22,1,1,1,1,4,0,39,24828,17,23643,61,4,35,513.0,38,556,0,0,"[1-61]","[61-1]"
22,1,2,1,2,4,0,39,24828,17,23643,73,4,53,783.0,59,871,0,0,"[1-73]","[73-1]"
22,1,2,2,3,4,0,39,24828,20,23927,8,4,67,993.0,73,1081,0,0,"[1-8]","[8-1]"
29,2,1,1,1,2,1,16,23473,185,23445,5,14,34,498.0,39,585,0,1,"[1-5]","[5-72-1]"
46,1,1,1,1,3,1,18,22250,200,22261,72,14,47,701.0,51,759,0,0,"[1-72]","[72-1]"
70,2,1,1,1,1,1,274,20911,266,20662,72,14,32,476.0,38,563,0,0,"[1-72]","[72-1]"
77,1,2,1,1,1,1,36,24313,207,22179,73,3,46,680.0,54,798,0,0,"[1-73]","[73-1]"
78,1,1,1,1,1,1,287,20954,274,20911,9,14,36,529.0,43,631,0,0,"[1-9]","[9-1]"
78,1,1,2,2,1,1,287,20954,274,20911,72,14,44,649.0,46,676,0,0,"[1-72]","[72-1]"
84,1,1,1,1,1,1,138,23257,200,22361,72,1,35,525.0,40,597,0,0,"[1-72]","[72-1]"
85,1,1,1,1,1,1,177,23157,167,24667,15,1,36,534.0,40,592,0,0,"[1-15]","[15-1]"
85,2,1,1,1,1,1,134,23159,360,26342,15,1,41,609.0,52,772,0,0,"[1-15]","[15-1]"
86,2,2,1,1,1,1,186,23441,58,24840,73,1,54,796.0,61,913,0,0,"[1-73]","[73-1]"
91,1,1,1,1,1,1,135,23718,92,23756,61,1,33,495.0,40,597,0,0,"[1-61]","[61-1]"
95,2,1,1,1,1,1,101,22333,193,22267,61,1,29,426.0,36,529,0,0,"[1-61]","[61-1]"
95,2,1,2,2,1,1,101,22333,193,22267,72,4,44,651.0,49,724,0,0,"[1-72]","[72-1]"
97,1,1,1,1,1,1,100,22658,100,22658,72,14,40,596.0,43,638,0,0,"[1-72]","[72-1]"
97,1,1,2,2,1,1,100,22658,100,23357,15,1,44,656.0,48,713,0,0,"[1-15]","[15-1]"
99,2,1,1,1,1,1,114,23165,117,22133,72,1,47,694.0,48,707,0,0,"[1-72]","[72-1]"
115,2,2,1,1,2,1,94,23540,134,23283,62,1,49,729.0,55,817,0,0,"[1-62]","[62-1]"
115,2,2,2,2,2,1,94,23540,36,24261,8,1,58,864.0,67,997,0,0,"[1-8]","[8-1]"
126,2,1,1,1,2,1,146,22821,18,22250,72,14,38,556.0,39,584,0,0,"[1-72]","[72-1]"
127,1,2,1,1,1,1,165,23030,18,22250,5,1,36,536.0,38,564,0,0,"[1-5]","[5-1]"
128,2,3,1,1,3,1,8,23904,8,23904,15,14,36,533.0,51,756,1,0,"[1-72-15]","[15-1]"
135,1,1,1,1,2,1,18,22270,134,23283,62,2,39,573.0,39,571,0,0,"[1-62]","[62-1]"
137,2,1,1,1,3,1,381,21874,149,21932,42,2,39,579.0,43,637,0,0,"[1-42]","[42-1]"
142,2,1,1,1,1,1,186,23464,194,22474,72,1,37,547.0,40,590,0,0,"[1-72]","[72-1]"
144,1,1,1,1,1,1,33,24466,67,25061,72,4,32,477.0,37,549,0,0,"[1-72]","[72-1]"
157,1,1,1,1,1,1,186,23530,182,23652,61,1,21,313.0,27,400,0,0,"[1-61]","[61-1]"
161,2,1,1,1,1,1,44,25321,18,22250,9,1,41,608.0,51,755,0,0,"[1-9]","[9-1]"
166,1,1,1,1,4,0,157,21504,145,22113,72,4,30,447.0,34,504,0,0,"[1-72]","[72-1]"
168,2,1,1,1,1,1,59,24677,66,25060,9,1,41,601.0,45,673,1,0,"[1-8-9]","[9-1]"
168,2,1,2,2,1,1,59,24677,67,25061,5,1,48,706.0,54,808,0,1,"[1-5]","[5-62-1]"
169,1,1,1,1,1,1,387,22093,207,22179,72,1,38,565.0,45,667,0,0,"[1-72]","[72-1]"
170,3,1,1,1,2,1,134,23208,67,25058,72,2,41,604.0,49,722,0,0,"[1-72]","[72-1]"
170,3,1,2,2,2,1,134,23208,79,24518,9,2,72,1069.0,79,1172,0,0,"[1-9]","[9-1]"
183,1,1,1,1,1,1,57,24754,57,24306,61,14,38,563.0,41,605,0,0,"[1-61]","[61-1]"
187,1,1,1,1,2,1,36,24195,108,23287,62,1,34,510.0,36,537,0,0,"[1-62]","[62-1]"
190,2,1,1,1,1,1,53,24076,186,23464,72,14,36,531.0,38,559,0,0,"[1-72]","[72-1]"
195,1,1,1,1,1,1,137,22847,141,22345,5,1,40,595.0,48,713,0,0,"[1-5]","[5-1]"
199,2,1,1,1,1,1,45,25331,17,23643,5,1,18,268.0,23,341,0,0,"[1-5]","[5-1]"
199,2,1,2,2,1,1,45,25331,67,25061,72,4,34,508.0,39,581,0,0,"[1-72]","[72-1]"
200,2,3,1,1,1,1,67,25061,67,25061,72,14,26,384.0,32,472,0,0,"[1-72]","[72-1]"
203,2,1,1,1,1,1,390,24939,92,23753,61,1,32,468.0,37,541,0,0,"[1-61]","[61-1]"
203,2,1,2,2,1,1,390,24939,137,22847,72,3,38,558.0,39,571,0,0,"[1-72]","[72-1]"
206,2,1,1,1,1,1,47,25357,18,22250,72,3,39,573.0,46,676,0,0,"[1-72]","[72-1]"
208,1,1,1,1,4,0,202,22115,200,22265,9,14,30,446.0,33,489,1,0,"[1-62-9]","[9-1]"
212,1,1,1,1,2,1,59,24662,66,25124,72,1,37,553.0,41,610,0,0,"[1-72]","[72-1]"
215,2,1,1,1,1,1,380,21878,145,22113,5,1,38,561.0,41,604,0,0,"[1-5]","[5-1]"
