hhid,jointTourNum,chauffPnum,passPnums,partySize,partyType,party,origTaz,origMaz,primaryDestTaz,primaryDestMaz,tourPurpose,chauffTourMode,passTourMode,prelimDepartInterval,finalDepartMinute,prelimArriveInterval,finalArriveMinute,totalObStops,totalIbStops,obStopSeq,ibStopSeq
23,1,2,"[ 4,1 ]",3,3,"[ 2,4,1 ]",16,23354,165,23084,6,3,4,61,915.0,69,1030,0,0,"[0-6]","[6-0]"
29,1,1,"[ 5,8 ]",3,3,"[ 1,5,8 ]",16,23473,17,23643,7,14,14,67,993.0,74,1107,1,2,"[0-5-7]","[7-5-5-0]"
29,2,2,"[ 8 ]",2,3,"[ 2,8 ]",16,23473,18,22250,5,2,4,76,1128.0,82,1227,0,2,"[0-5]","[5-6-5-0]"
39,1,2,"[ 1 ]",2,1,"[ 2,1 ]",17,23643,135,23656,6,2,4,25,372.0,33,487,0,5,"[0-6]","[6-7-5-9-5-7-0]"
43,1,1,"[ 2 ]",2,1,"[ 1,2 ]",17,23747,67,25061,9,2,4,62,923.0,71,1052,0,1,"[0-9]","[9-5-0]"
46,1,2,"[ 4,3 ]",3,3,"[ 2,4,3 ]",18,22250,18,22250,7,14,14,55,821.0,66,981,0,5,"[0-7]","[7-5-5-5-5-5-0]"
46,2,2,"[ 4 ]",2,3,"[ 2,4 ]",18,22250,18,22384,6,14,14,67,1001.0,74,1101,0,5,"[0-6]","[6-5-5-5-5-5-0]"
61,1,1,"[ 2,4 ]",3,3,"[ 1,2,4 ]",20,23881,134,23283,6,3,4,53,789.0,67,993,0,4,"[0-6]","[6-5-5-5-7-0]"
62,1,1,"[ 2 ]",2,1,"[ 1,2 ]",20,23930,18,22250,5,2,4,64,951.0,71,1051,1,4,"[0-6-5]","[5-6-5-7-5-0]"
63,1,1,"[ 2 ]",2,1,"[ 1,2 ]",20,23930,18,22250,5,3,4,34,509.0,44,654,1,3,"[0-9-5]","[5-5-5-5-0]"
69,1,2,"[ 4 ]",2,3,"[ 2,4 ]",21,23934,134,23208,6,3,4,63,943.0,66,983,0,2,"[0-6]","[6-5-6-0]"
96,1,2,"[ 1 ]",2,1,"[ 2,1 ]",23,23415,18,22250,5,3,4,22,326.0,33,485,1,4,"[0-8-5]","[5-5-6-5-5-0]"
100,1,1,"[ 2 ]",2,1,"[ 1,2 ]",23,23522,18,22250,5,2,4,63,943.0,70,1043,0,5,"[0-5]","[5-5-9-5-5-5-0]"
130,1,1,"[ 3,4 ]",3,3,"[ 1,3,4 ]",30,21957,117,22133,9,3,4,52,776.0,72,1070,0,1,"[0-9]","[9-5-0]"
138,1,2,"[ 1 ]",2,1,"[ 2,1 ]",33,23787,92,23756,6,2,4,34,500.0,45,674,0,3,"[0-6]","[6-5-5-7-0]"
139,1,1,"[ 2 ]",2,1,"[ 1,2 ]",33,23922,134,23208,6,2,4,5,64.0,17,253,0,2,"[0-6]","[6-5-5-0]"
142,1,1,"[ 2 ]",2,1,"[ 1,2 ]",33,23922,29,23126,9,2,4,64,952.0,72,1067,1,0,"[0-5-9]","[9-0]"
146,1,1,"[ 2,4 ]",3,3,"[ 1,2,4 ]",33,24467,59,24511,6,3,4,77,1152.0,80,1192,0,0,"[0-6]","[6-0]"
148,1,1,"[ 2 ]",2,1,"[ 1,2 ]",34,24127,11,23757,7,2,4,63,944.0,65,968,0,0,"[0-7]","[7-0]"
148,2,2,"[ 3 ]",2,3,"[ 2,3 ]",34,24127,134,23283,6,2,4,57,854.0,61,908,0,0,"[0-6]","[6-0]"
