hhid,pumsSerialNo,homeTaz,homeMaz,hhsize,numFtWorkers,numPtWorkers,numUnivStuds,numNonWorkers,nunmRetired,numDrivAgeStuds,numPreDrivStuds,numPreshcool,hhIncomeDollars,dwellingType
0,2.0070006784E12,4,23952,1,0,0,0,0,1,0,0,0,8100,-999
1,2.00700133376E12,4,23952,2,1,0,0,0,0,0,1,0,34900,-999
2,2.0070006784E12,8,23867,1,0,0,0,0,1,0,0,0,2600,-999
3,2.008000233472E12,8,23867,1,0,0,0,0,1,0,0,0,15400,-999
4,2.009001230336E12,8,23867,1,0,0,0,1,0,0,0,0,14500,-999
5,2.010000785408E12,8,23867,1,0,0,0,0,1,0,0,0,8500,-999
6,2.011000078336E12,8,23867,1,0,0,0,1,0,0,0,0,30000,-999
7,2.011001257984E12,8,23867,1,0,1,0,0,0,0,0,0,25000,-999
8,2.009000574976E12,10,23900,1,0,0,0,1,0,0,0,0,3900,-999
9,2.010000523264E12,14,23661,1,0,0,0,0,1,0,0,0,11900,-999
10,2.008001282048E12,14,23662,1,0,0,0,0,1,0,0,0,30500,-999
11,2.008001282048E12,14,23662,1,0,0,0,0,1,0,0,0,24000,-999
12,2.010001047552E12,14,23662,5,1,1,1,0,0,1,1,0,39600,-999
13,2.009000968192E12,14,23664,5,1,1,0,0,0,2,1,0,58000,-999
14,2.007001202688E12,14,23725,1,0,0,0,1,0,0,0,0,11500,-999
15,2.00700133376E12,14,23725,1,0,0,0,0,1,0,0,0,31300,-999
16,2.011000733696E12,14,23725,1,0,0,0,0,1,0,0,0,15400,-999
17,2.007000547328E12,14,23758,1,0,0,0,0,1,0,0,0,125300,-999
18,2.0070006784E12,14,23758,1,0,0,0,0,1,0,0,0,17400,-999
19,2.007001071616E12,14,23758,1,0,0,0,0,1,0,0,0,14400,-999
20,2.007001202688E12,14,23758,5,2,0,0,0,0,1,2,0,123800,-999
21,2.007000154112E12,15,23868,1,0,0,0,1,0,0,0,0,0,-999
22,2.011001520128E12,16,23353,5,1,0,1,0,0,0,3,0,46000,-999
23,2.007000416256E12,16,23354,4,0,1,0,1,0,0,1,1,64700,-999
24,2.010000523264E12,16,23354,2,2,0,0,0,0,0,0,0,75000,-999
25,2.010001047552E12,16,23404,5,1,0,0,1,0,1,2,0,27900,-999
26,2.010001309696E12,16,23408,1,0,0,0,1,0,0,0,0,13000,-999
27,2.00900083712E12,16,23409,2,2,0,0,0,0,0,0,0,77000,-999
28,2.011000471552E12,16,23472,1,0,0,0,1,0,0,0,0,18500,-999
29,2.01000026112E12,16,23473,8,1,1,0,0,0,0,2,4,37980,-999
30,2.009000968192E12,16,23474,2,2,0,0,0,0,0,0,0,112900,-999
31,2.009001099264E12,16,23501,1,0,0,0,0,1,0,0,0,11900,-999
32,2.009001099264E12,16,23523,1,0,0,0,0,1,0,0,0,25000,-999
33,2.009000968192E12,16,23524,1,0,0,0,0,1,0,0,0,8400,-999
34,2.00700002304E12,17,23643,2,0,0,0,0,2,0,0,0,15000,-999
35,2.007000416256E12,17,23643,3,0,1,0,2,0,0,0,0,14800,-999
36,2.00700133376E12,17,23643,2,1,0,0,0,0,0,1,0,34900,-999
37,2.00700133376E12,17,23643,2,0,0,0,2,0,0,0,0,0,-999
38,2.008000495616E12,17,23643,2,0,0,0,2,0,0,0,0,38400,-999
39,2.01000091648E12,17,23643,2,0,0,0,0,2,0,0,0,41300,-999
40,2.01000091648E12,17,23643,2,0,0,0,1,1,0,0,0,45950,-999
41,2.011000078336E12,17,23643,2,0,0,0,2,0,0,0,0,131900,-999
42,2.009001099264E12,17,23644,2,1,1,0,0,0,0,0,0,40400,-999
43,2.009000443904E12,17,23747,2,2,0,0,0,0,0,0,0,97400,-999
44,2.00700133376E12,18,22250,1,0,0,0,0,1,0,0,0,84700,-999
45,2.008001019904E12,18,22250,1,0,1,0,0,0,0,0,0,32800,-999
46,2.008001150976E12,18,22250,4,1,0,0,1,0,0,1,1,32000,-999
47,2.009000312832E12,18,22250,1,0,0,0,0,1,0,0,0,22000,-999
48,2.009000574976E12,18,22250,1,1,0,0,0,0,0,0,0,84000,-999
49,2.009000706048E12,18,22250,4,1,0,0,1,0,0,1,1,44800,-999
50,2.009001099264E12,18,22250,4,1,0,1,0,0,0,1,1,75000,-999
51,2.01100034048E12,18,22250,1,1,0,0,0,0,0,0,0,49000,-999
52,2.011000733696E12,18,22250,1,1,0,0,0,0,0,0,0,118000,-999
53,2.011000864768E12,18,22250,1,0,0,0,0,1,0,0,0,28000,-999
54,2.011001126912E12,18,22250,1,0,0,0,1,0,0,0,0,9300,-999
55,2.011001389056E12,18,22250,1,1,0,0,0,0,0,0,0,62000,-999
56,2.009001361408E12,19,23634,2,0,0,0,1,0,1,0,0,14600,-999
57,2.01100099584E12,19,23634,2,2,0,0,0,0,0,0,0,54500,-999
58,2.0070006784E12,19,23635,2,0,0,0,0,2,0,0,0,38900,-999
59,2.0070006784E12,19,23635,2,0,0,0,0,2,0,0,0,57700,-999
60,2.00800075776E12,19,23637,1,0,0,0,1,0,0,0,0,16000,-999
61,2.007000154112E12,20,23881,4,0,0,0,2,0,0,2,0,14000,-999
62,2.007000809472E12,20,23930,2,1,0,0,1,0,0,0,0,46400,-999
63,2.009000574976E12,20,23930,2,0,0,1,1,0,0,0,0,8800,-999
64,2.007000547328E12,21,23858,1,0,0,0,0,1,0,0,0,23800,-999
65,2.007000285184E12,21,23870,2,1,1,0,0,0,0,0,0,25500,-999
66,2.009000050688E12,21,23871,2,1,1,0,0,0,0,0,0,13000,-999
67,2.010001309696E12,21,23871,1,0,0,0,0,1,0,0,0,14570,-999
68,2.007001071616E12,21,23934,4,1,0,0,1,0,0,0,2,50040,-999
69,2.00900018176E12,21,23934,4,1,0,0,1,0,0,2,0,50400,-999
70,2.009000968192E12,21,23934,2,2,0,0,0,0,0,0,0,27020,-999
71,2.011001257984E12,21,23934,1,0,0,0,0,1,0,0,0,33200,-999
72,2.011001389056E12,21,23934,4,1,0,0,3,0,0,0,0,49700,-999
73,2.01100099584E12,21,23999,1,0,0,0,1,0,0,0,0,0,-999
74,2.009000706048E12,22,23645,3,0,0,0,2,0,0,0,1,3300,-999
75,2.01100099584E12,22,23645,3,2,0,0,0,0,0,0,1,68000,-999
76,2.007000940544E12,22,23646,2,1,0,0,1,0,0,0,0,61000,-999
77,2.011000733696E12,22,23646,3,1,0,0,1,0,0,1,0,95000,-999
78,2.01000026112E12,22,23655,3,1,0,0,1,0,0,1,0,32000,-999
79,2.007001071616E12,22,23723,3,1,0,0,0,0,0,2,0,20400,-999
80,2.008000626688E12,22,23723,3,1,1,0,0,0,1,0,0,33900,-999
81,2.008001150976E12,22,23723,3,1,0,0,1,0,0,0,1,41180,-999
82,2.008000888832E12,22,23770,3,0,0,0,2,0,0,0,1,5000,-999
83,2.011000078336E12,22,23770,3,2,0,0,0,1,0,0,0,86800,-999
84,2.00900083712E12,22,23771,3,2,0,0,0,0,0,1,0,27000,-999
85,2.009000968192E12,22,23771,3,2,0,0,0,0,0,0,1,723000,-999
86,2.011000733696E12,22,23773,3,2,0,0,0,0,0,1,0,85000,-999
87,2.007999971328E12,22,23776,3,1,1,0,0,0,0,0,1,26900,-999
88,2.0080001024E12,22,23776,2,0,1,0,1,0,0,0,0,35020,-999
89,2.008000233472E12,22,23776,3,2,0,0,0,0,0,0,1,49000,-999
90,2.008001282048E12,22,23804,2,0,0,0,0,2,0,0,0,33000,-999
91,2.007001071616E12,23,23410,2,2,0,0,0,0,0,0,0,70500,-999
92,2.007000940544E12,23,23411,2,0,0,0,0,2,0,0,0,18300,-999
93,2.00800075776E12,23,23411,2,0,0,0,1,1,0,0,0,39800,-999
94,2.010001309696E12,23,23411,4,2,0,0,0,0,1,1,0,57200,-999
95,2.007000285184E12,23,23414,2,2,0,0,0,0,0,0,0,30000,-999
96,2.008000495616E12,23,23415,2,0,0,0,1,1,0,0,0,65700,-999
97,2.007001202688E12,23,23418,2,2,0,0,0,0,0,0,0,75000,-999
98,2.008001019904E12,23,23418,2,1,1,0,0,0,0,0,0,66000,-999
99,2.008001282048E12,23,23418,2,1,1,0,0,0,0,0,0,45400,-999
100,2.010001309696E12,23,23522,2,2,0,0,0,0,0,0,0,119010,-999
101,2.008000626688E12,23,23544,2,1,0,0,1,0,0,0,0,89900,-999
102,2.009999998976E12,23,23545,2,0,0,0,2,0,0,0,0,62800,-999
103,2.01100034048E12,24,22237,4,1,1,0,0,0,0,2,0,46400,-999
104,2.00900083712E12,25,23023,3,0,0,0,2,0,0,1,0,7000,-999
105,2.008000233472E12,26,23618,2,2,0,0,0,0,0,0,0,35000,-999
106,2.009001099264E12,26,23618,6,2,2,0,0,0,2,0,0,85000,-999
107,2.010000130048E12,26,23618,1,0,0,0,0,1,0,0,0,22300,-999
108,2.011001257984E12,26,23618,2,1,1,0,0,0,0,0,0,28500,-999
109,2.009000443904E12,26,23788,1,0,0,0,1,0,0,0,0,19100,-999
110,2.009000443904E12,26,23788,1,0,0,0,0,1,0,0,0,16300,-999
111,2.01100099584E12,26,23788,1,0,0,0,1,0,0,0,0,13800,-999
112,2.007000416256E12,29,23126,2,0,0,0,2,0,0,0,0,44300,-999
113,2.0080001024E12,29,23126,3,1,2,0,0,0,0,0,0,135000,-999
114,2.00900018176E12,29,23126,2,0,0,0,0,2,0,0,0,51100,-999
115,2.00900083712E12,29,23126,4,2,0,0,0,0,0,1,1,32800,-999
116,2.010000654336E12,29,23126,2,0,0,0,0,2,0,0,0,43900,-999
117,2.010000785408E12,29,23126,3,1,2,0,0,0,0,0,0,67100,-999
118,2.011000471552E12,29,23126,2,0,0,0,2,0,0,0,0,20300,-999
119,2.011000602624E12,29,23126,2,0,0,0,2,0,0,0,0,0,-999
120,2.01100034048E12,29,23402,4,1,1,0,1,0,1,0,0,46000,-999
121,2.007001202688E12,29,23486,4,1,0,0,1,1,1,0,0,38410,-999
122,2.010000523264E12,29,23486,2,0,0,0,0,2,0,0,0,40700,-999
