hhid,pnum,pumsSerialNo,persType,persTypeDetailed,age,gender,industry,schlGrade,educLevel,workPlaceType,workPlaceTaz,workPlaceMaz,schoolType,schoolTaz,schoolMaz,dailyActivityPattern,specEvtParticipant,jointTour1Role,jointTour2role,obPeChauffBund1,obPeChauffBund2,obPeChauffBund3,obRsChauffBund,obPePassBund,obRsPassBund,ibPeChauffBund1,ibPeChauffBund2,ibPeChauffBund3,ibRsChauffBund,ibPePassBund,ibRsPassBund,studentDorm,studentRent,activityString
1,1,2.00700133376E12,1,1,47,1,55,0,9,2,390,24938,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-42-62-61-1-9-1-72-1-0]"
1,2,2.00700133376E12,7,19,8,1,0,3,2,0,0,0,1,138,23316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-73-0]"
4,1,2.009001230336E12,4,13,64,2,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-5-72-5-0]"
6,1,2.011000078336E12,4,13,64,2,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-0]"
7,1,2.011001257984E12,2,4,53,2,45,0,9,2,164,23042,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-0]"
11,1,2.008001282048E12,5,15,94,2,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-61-0]"
12,1,2.010001047552E12,1,1,49,1,44,0,10,2,36,24313,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-15-15-0]"
12,2,2.010001047552E12,2,4,43,2,54,0,9,2,14,23800,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-73-0]"
12,3,2.010001047552E12,3,12,20,1,72,6,11,2,66,25124,2,64,25483,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-71-2-73-0]"
12,4,2.010001047552E12,6,17,17,1,0,5,7,0,0,0,1,53,24076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
12,5,2.010001047552E12,7,19,12,2,0,4,4,0,0,0,1,23,23410,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-61-9-8-0]"
13,1,2.009000968192E12,1,1,48,1,81,0,9,2,174,25159,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0-1-15-61-0]"
13,2,2.009000968192E12,2,4,44,2,52,0,9,2,463,463,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"[0-411-0-411-0]"
13,3,2.009000968192E12,6,16,19,1,44,5,9,2,185,23564,1,53,24076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0-61-0]"
13,4,2.009000968192E12,6,16,17,1,44,5,6,2,174,25163,1,53,24076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0-1-0]"
13,5,2.009000968192E12,7,19,12,2,0,4,3,0,0,0,1,384,23100,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"[0-3-0]"
14,1,2.007001202688E12,4,13,51,2,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-61-0]"
15,1,2.00700133376E12,5,15,69,2,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-62-61-72-73-0-9-0]"
17,1,2.007000547328E12,5,15,73,2,0,0,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-5-9-61-0-8-0]"
18,1,2.0070006784E12,5,15,72,2,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-61-61-0-5-0]"
20,1,2.007001202688E12,1,1,47,1,51,0,13,2,390,24938,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-15-0-15-15-1-0-42-0]"
20,2,2.007001202688E12,1,1,47,2,44,0,13,2,174,25163,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"[0-412-1-72-1-412-9-0-42-0-42-0]"
20,3,2.007001202688E12,6,16,17,2,44,5,7,2,208,22473,1,53,24076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
20,4,2.007001202688E12,7,19,15,2,0,5,6,0,0,0,1,53,24076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[0-3-9-0]"
20,5,2.007001202688E12,7,19,14,1,0,4,4,0,0,0,1,384,23100,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[0-3-9-0]"
21,1,2.007000154112E12,4,13,55,1,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-8-0]"
22,1,2.011001520128E12,1,1,46,1,33,0,7,2,39,24828,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-71-1-61-1-0-1-73-1-8-1-0]"
22,2,2.011001520128E12,3,9,38,2,0,6,13,0,0,0,2,199,22119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-2-62-0]"
22,3,2.011001520128E12,7,19,15,1,0,5,5,0,0,0,1,53,24076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
22,4,2.011001520128E12,7,19,12,2,0,4,3,0,0,0,1,384,23100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
22,5,2.011001520128E12,7,19,10,2,0,3,2,0,0,0,1,23,23410,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
23,1,2.007000416256E12,4,13,27,1,0,0,9,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-0]"
23,2,2.007000416256E12,2,4,28,2,62,0,9,2,59,24621,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-15-0-6-0]"
23,3,2.007000416256E12,7,19,7,1,0,3,2,0,0,0,1,138,23316,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-62-0]"
23,4,2.007000416256E12,8,21,2,2,0,0,0,0,0,0,2,16,23354,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-0]"
24,1,2.010000523264E12,1,3,34,2,62,6,12,1,16,23354,2,199,22259,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-15-73-0]"
24,2,2.010000523264E12,1,1,35,1,33,0,13,2,167,24667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-1-62-0]"
25,1,2.010001047552E12,4,13,31,2,0,0,9,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
25,2,2.010001047552E12,1,1,36,1,23,0,9,2,166,24546,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0-5-0]"
25,3,2.010001047552E12,7,19,12,2,0,4,4,0,0,0,1,358,26241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
25,4,2.010001047552E12,6,18,16,1,0,5,5,0,0,0,1,37,24209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
25,5,2.010001047552E12,7,19,14,1,0,4,4,0,0,0,1,131,23535,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
27,1,2.00900083712E12,1,1,39,1,72,0,12,2,441,441,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-0-5-9-5-8-0]"
27,2,2.00900083712E12,1,1,38,1,62,0,9,2,165,23084,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
28,1,2.011000471552E12,4,13,61,1,0,0,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-62-8-0]"
29,1,2.01000026112E12,1,1,35,1,33,0,9,2,466,466,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0-42-42-0-5-7-5-5-0-73-9-8-0]"
