hhid,pnum,tourNum,numTourTrips,numSubTours,jointTourNum,fullyJointTourRole,obBundleNum,ibBundleNum,obEscorRole,ibEscorRole,jointSpecEvtTour,origTaz,origMaz,primaryDestTaz,primaryDestMaz,tourPurpose,tourMode,prelimDepartInterval,finalDepartMinute,finalDepartBinTOdModel,prelimArriveInterval,finalArriveMinute,finalArriveBinTodModel,totalObStops,obSchEscStops,totalIbStops,ibSchEscStops,linkedSpecEv,obStopSeq,ibStopSeq
1,1,1,5,2,0,0,0,0,0,0,0,4,23952,59,24558,1,2,16,233.0,59,59,879,0,3,0,0,0,0,"[0-42-62-61-1]","[1-0]"
1,2,1,3,0,0,0,0,0,0,0,0,4,23952,138,23316,3,17,23,338.0,53,54,804,0,0,0,1,0,0,"[0-3]","[3-73-0]"
4,1,1,5,0,0,0,0,0,0,0,0,8,23867,174,25163,5,6,55,820.0,63,63,934,0,0,0,3,0,0,"[0-5]","[5-5-72-5-0]"
6,1,1,2,0,0,0,0,0,0,0,0,8,23867,67,25058,72,1,36,537.0,42,42,622,0,0,0,0,0,0,"[0-72]","[72-0]"
7,1,1,2,1,0,0,0,0,0,0,0,8,23867,143,22537,1,1,11,155.0,41,41,609,0,0,0,0,0,0,"[0-1]","[1-0]"
11,1,1,3,0,0,0,0,0,0,0,0,14,23662,92,23756,61,6,30,436.0,40,39,581,0,0,0,1,0,0,"[0-61]","[61-61-0]"
12,1,1,4,0,0,0,0,0,0,0,0,14,23662,137,22847,1,6,16,240.0,55,55,812,0,0,0,2,0,0,"[0-1]","[1-15-15-0]"
12,2,1,3,0,0,0,0,0,0,0,0,14,23662,202,22115,5,6,44,660.0,55,54,804,0,0,0,1,0,0,"[0-5]","[5-73-0]"
12,3,1,4,0,0,0,0,0,0,0,0,14,23662,64,25483,2,5,17,255.0,78,79,1172,0,1,0,1,0,0,"[0-71-2]","[2-73-0]"
12,4,1,2,0,0,0,0,0,0,0,0,14,23662,53,24076,3,14,15,225.0,46,46,676,0,0,0,0,0,0,"[0-3]","[3-0]"
12,5,1,5,0,0,0,0,0,0,0,0,14,23662,23,23410,3,4,16,240.0,67,69,1026,0,0,0,3,0,0,"[0-3]","[3-61-9-8-0]"
13,1,1,2,0,0,0,0,0,0,0,0,14,23664,174,25163,1,5,18,256.0,53,53,788,0,0,0,0,0,0,"[0-1]","[1-0]"
13,1,2,4,0,0,0,0,0,0,0,0,14,23664,174,25163,1,1,55,811.0,75,75,1119,0,0,0,2,0,0,"[0-1]","[1-15-61-0]"
13,2,1,2,0,0,0,1,0,1,0,0,14,23664,384,23100,411,3,20,286.0,21,20,297,0,0,0,0,0,0,"[0-411]","[411-0]"
13,2,2,2,0,0,0,0,1,0,1,0,14,23664,384,23100,411,3,48,706.0,49,48,717,0,0,0,0,0,0,"[0-411]","[411-0]"
13,3,1,2,0,0,0,0,0,0,0,0,14,23664,53,24076,3,14,18,256.0,46,46,678,0,0,0,0,0,0,"[0-3]","[3-0]"
13,3,2,2,0,0,0,0,0,0,0,0,14,23664,14,23758,61,14,48,706.0,48,47,701,0,0,0,0,0,0,"[0-61]","[61-0]"
13,4,1,2,0,0,0,0,0,0,0,0,14,23664,53,24076,3,14,17,241.0,53,53,783,0,0,0,0,0,0,"[0-3]","[3-0]"
13,4,2,2,0,0,0,0,0,0,0,0,14,23664,174,25163,1,1,56,826.0,73,73,1088,0,0,0,0,0,0,"[0-1]","[1-0]"
13,5,1,2,0,0,0,1,1,2,2,0,14,23664,384,23100,3,4,20,286.0,48,48,717,0,0,0,0,0,0,"[0-3]","[3-0]"
14,1,1,3,0,0,0,0,0,0,0,0,14,23725,117,22133,72,2,38,559.0,46,45,673,0,0,0,1,0,0,"[0-72]","[72-61-0]"
15,1,1,5,0,0,0,0,0,0,0,0,14,23725,134,23283,62,1,33,494.0,44,44,654,0,0,0,3,0,0,"[0-62]","[62-61-72-73-0]"
15,1,2,2,0,0,0,0,0,0,0,0,14,23725,67,25061,9,1,67,1004.0,75,75,1119,0,0,0,0,0,0,"[0-9]","[9-0]"
17,1,1,5,0,0,0,0,0,0,0,0,14,23758,18,22250,5,1,29,423.0,36,35,523,0,0,0,3,0,0,"[0-5]","[5-5-9-61-0]"
17,1,2,2,0,0,0,0,0,0,0,0,14,23758,134,23283,8,1,58,858.0,64,63,943,0,0,0,0,0,0,"[0-8]","[8-0]"
