uniqueid,jointTripNum,hhid,pnum,userClass,tourNum,tourSubTourNum,personTripNum,tourTripNum,mainTourTripNum,subTourTripNum,jointTourNum,jointTripRole,direction,obBundleNum,ibBundleNum,escortingRole,jointSpecEvtTour,party,origTaz,origMaz,destTaz,destMaz,origPurp,destPurp,mode,prelimDepartInterval,finalDepartMinute,tripDistance,prelimArriveInterval,finalArriveMinute,activityMinutesAtDest,pnrParkTaz,pnrParkMaz, vot
1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",4,23952,55,24340,0,42,2,15,218.33100410869244,0.94,15,220.92,5.12,0,0,10.612632901094742
2,0,1,1,1,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 1 ]",55,24340,17,23643,42,61,1,15,225.21100899150494,2.87,16,232.49,4.29,0,0,10.612632901094742
3,0,1,1,1,1,0,3,3,3,0,0,0,1,0,0,0,0,"[ 1 ]",17,23643,134,23208,61,62,1,16,235.95099922587994,2.58,17,241.81,5.13,0,0,10.612632901094742
4,0,1,1,1,1,0,4,4,4,0,0,0,1,0,0,0,0,"[ 1 ]",134,23208,171,24618,62,1,1,17,246.11100288798932,2.19,17,251.97,252.19,0,0,10.612632901094742
5,0,1,1,3,1,1,5,1,0,1,0,0,1,0,0,0,0,"[ 1 ]",171,24618,186,23441,1,9,1,34,503.3310041086924,1.75,34,508.35,19.97,0,0,11.59180554464935
6,0,1,1,3,1,1,6,2,0,2,0,0,2,0,0,0,0,"[ 1 ]",186,23441,171,24618,9,1,1,36,527.4909772532237,1.67,36,532.15,47.01,0,0,11.59180554464935
7,0,1,1,3,1,2,7,1,0,1,0,0,1,0,0,0,0,"[ 1 ]",171,24618,67,24954,1,72,1,39,578.3310041086925,1.43,39,581.53,97.27,0,0,11.59180554464935
8,0,1,1,3,1,2,8,2,0,2,0,0,2,0,0,0,0,"[ 1 ]",67,24954,171,24618,72,1,1,46,677.97101875713,1.43,46,681.36,197.80,0,0,11.59180554464935
9,0,1,1,1,1,0,9,5,5,0,0,0,2,0,0,0,0,"[ 1 ]",171,24618,4,23952,1,0,1,59,878.3310041086925,1.10,59,881.07,549.76,0,0,10.612632901094742
10,0,1,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",4,23952,56,24451,0,3,17,23,338.3310041086924,1.56,23,342.45,446.71,0,0,16.151782754635626
11,0,1,2,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",56,24451,66,25124,3,73,17,53,788.3310041086925,1.39,53,791.34,5.60,0,0,16.151782754635626
12,0,1,2,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 2 ]",66,25124,4,23952,73,0,17,54,796.1110334055675,2.23,54,801.15,629.68,0,0,16.151782754635626
1,0,4,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",8,23867,174,25163,0,5,5,55,820.3963061027843,2.65,55,857.25,22.57,0,0,5.849789593703514
2,0,4,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",174,25163,174,25163,5,5,14,59,876.9163256340343,0.19,59,880.72,4.48,0,0,5.849789593703514
3,0,4,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",174,25163,207,22179,5,72,5,59,882.2963305168468,6.63,60,985.93,-82.47,0,0,5.849789593703514
4,0,4,1,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",207,22179,18,22250,72,5,4,60,900.5563402824718,3.02,61,905.33,9.17,0,0,5.849789593703514
5,0,4,1,3,1,0,5,5,5,0,0,0,2,0,0,0,0,"[ 1 ]",18,22250,8,23867,5,0,4,61,911.5963183098155,4.40,62,923.49,509.41,0,0,5.849789593703514
1,0,6,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",8,23867,67,25058,0,72,1,36,537.9392592262927,2.40,36,543.63,79.93,0,0,0.9624727944536479
2,0,6,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",67,25058,8,23867,72,0,1,41,618.119251902074,2.41,42,623.94,811.50,0,0,0.9624727944536479
1,0,7,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",8,23867,61,24772,0,1,1,11,155.4390760712192,1.77,11,159.64,158.74,0,0,8.741479341544574
2,0,7,1,3,1,1,2,1,0,1,0,0,1,0,0,0,0,"[ 1 ]",61,24772,67,25061,1,72,14,22,320.4390760712192,0.89,22,338.24,140.86,0,0,9.975047179656057
3,0,7,1,3,1,1,3,2,0,2,0,0,2,0,0,0,0,"[ 1 ]",67,25061,61,24772,72,1,14,33,481.1590772919223,0.89,33,498.96,89.42,0,0,9.975047179656057
4,0,7,1,1,1,0,4,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",61,24772,8,23867,1,0,1,40,590.4390760712192,1.78,40,594.71,833.23,0,0,8.741479341544574
1,0,11,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23662,92,23756,0,61,5,30,436.91925143063196,0.91,30,465.05,92.37,0,0,10.014303112244837
2,0,11,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",92,23756,195,22321,61,61,4,38,562.9992685204758,3.80,39,573.01,-2.99,0,0,10.014303112244837
3,0,11,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",195,22321,14,23662,61,0,4,39,575.5992441064133,3.16,40,584.10,840.32,0,0,10.014303112244837
1,0,12,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23662,137,22847,0,1,5,17,240.40005132175838,1.65,17,271.63,405.93,0,0,6.245269549643438
2,0,12,1,1,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",137,22847,250,20262,1,15,4,47,684.6600000522271,15.48,49,711.70,1.82,0,0,6.245269549643438
3,0,12,1,1,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",250,20262,366,25839,15,15,4,49,720.6200220248834,34.89,54,780.17,8.13,0,0,6.245269549643438
4,0,12,1,1,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",366,25839,14,23662,15,0,4,54,795.4000513217584,10.40,55,813.01,609.89,0,0,6.245269549643438
5,0,12,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",14,23662,202,22115,0,5,4,45,660.4000513217584,3.92,46,668.56,30.30,0,0,4.756650169146488
6,0,12,2,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",202,22115,66,25099,5,73,5,48,705.9600488803521,6.82,49,797.16,-79.66,0,0,4.756650169146488
7,0,12,2,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 2 ]",66,25099,14,23662,73,0,5,49,724.6000635287896,2.90,50,765.22,657.68,0,0,4.756650169146488
8,0,12,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",14,23662,174,25163,0,71,5,18,255.40005132175838,3.26,18,299.93,-40.13,0,0,2.6047129134958658
9,0,12,3,3,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 3 ]",174,25163,64,25483,71,2,14,19,266.9000513217584,2.28,19,312.50,835.80,0,0,2.6047129134958658
10,0,12,3,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 3 ]",64,25483,67,25058,2,73,5,78,1155.4000513217584,3.25,78,1191.02,-31.22,0,0,2.6047129134958658
